actor_name,birth_year,know_for,actor_role,actor_awards
Michael Hel,none,"The Protector, Shadow Master","Especialistas,  Reparto,  Guion","Independent Shorts Awards, Indie Short Fest"
Kevin Le,none,"Spider-Chan, Takeout","Especialistas,  Reparto","Urban Action Showcase And Expo, Indie Short Fest"
The Pickler,none,"Lil Stinky on the mic, Red Devil","Reparto,  Guion,  Dirección",None
Ya Boy Doug,none,"Lil Stinky on the mic, Snowed in","Sonido,  Reparto,  Guion",None
What Sandwich,none,"Snowed in, Meat Worm","Reparto,  Guion,  Edición",None
Irone Singleton,none,"The Walking Dead, El pacto","Reparto,  Producción,  Dirección",CinEuphoria Awards
Muddana Chaitanya Abhiram,none,"Roommates Part-1, Roommates Part-3","Dirección,  Reparto,  Guion",None
Aaron Aziz,none,"Sayu Yang Syukur, Romeo Kota","Reparto,  Dirección,  Especialistas",Malaysian Film Festival
Remy Ishak,none,"Pulang, Nur Kasih: The Movie",Reparto,"Malaysian Film Festival, ASEAN International Film Festival and Awards"
Syafiq Kyle,none,"Sheriff: Narko Integriti, Seribu Nina","Reparto,  Producción","Malaysian Film Festival, Asian Television Awards"
Shah Reza Mohd Shah,none,"Sangkar, Blood Brothers",Reparto,None
Mimi Lana,none,"The Experts, Framed",Reparto,Malaysian Film Festival
Jai Akash,none,Fearless Bond,Reparto,None
Anash,none,,Reparto,None
Jey Dev,none,,Reparto,None
Dharsan,none,"Fearless Bond, Ghost 3","Dirección,  Reparto,  Dirección de fotografía y cámara",None
Gowtham,none,,Reparto,None
Wingsze Chung,none,"The Wong House, Amaterasu",Reparto,None
Elisha Howe,none,,Reparto,None
Nisaro Karim,none,"Crushed Wings, Witness","Reparto,  Producción,  Dirección de fotografía y cámara","Bridge Fest, Vancouver, Flicks Film Festival"
Nick Khan,none,"Eternals, Renegades","Reparto,  Especialistas,  Equipos adicionales","Lift-Off Global Network, London, Los Angeles Motion Picture Festival"
Joe Kirton,none,"Geezers, TAWN-19","Reparto,  Especialistas",None
Rodrig Andrisan,none,"The Creature from Epping Forest 2: Born to Be Wild, Tuned In","Reparto,  Dirección,  Guion","Bratislava International Film Festival, Top Indie Film Awards"
Natalie Cameron Ward,none,"The Creature from Epping Forest 2: Born to Be Wild, Panties for Cinderella","Reparto,  Dirección de fotografía y cámara,  Maquillaje","Eastern Europe Film Festival, Tekka International Film Festival"
Rodrig Andrisan,none,"The Creature from Epping Forest 2: Born to Be Wild, Tuned In","Reparto,  Dirección,  Guion","Bratislava International Film Festival, Top Indie Film Awards"
Natalie Cameron Ward,none,"The Creature from Epping Forest 2: Born to Be Wild, Panties for Cinderella","Reparto,  Dirección de fotografía y cámara,  Maquillaje","Eastern Europe Film Festival, Tekka International Film Festival"
Rodrig Andrisan,none,"The Creature from Epping Forest 2: Born to Be Wild, Tuned In","Reparto,  Dirección,  Guion","Bratislava International Film Festival, Top Indie Film Awards"
Natalie Cameron Ward,none,"The Creature from Epping Forest 2: Born to Be Wild, Panties for Cinderella","Reparto,  Dirección de fotografía y cámara,  Maquillaje","Eastern Europe Film Festival, Tekka International Film Festival"
Saif Elmousa,none,,Reparto,None
Nussair Nussairat,none,,Reparto,None
Kareem El-Mousa,none,,"Dirección,  Reparto",None
Rebecca Galarza,1989,"Dollface, No Activity",Reparto,None
Khalil' La'Marr Pickett,none,"Más dura será la caída, El escuadrón suicida","Especialistas,  Reparto",Screen Actors Guild Awards
Abriann Tolentino,none,"The Things We Bloom, Wish",Reparto,None
Dewayne Williams,none,,Reparto,None
Brianna Paige Arsement,none,"Trapped in 100 Layers of Banned Toys!, PrestonCartoonz","Reparto,  Guion,  Equipo ejecutivo",None
Chase Bradshaw,none,"Cerco de sangre, All Roads to Pearla",Reparto,None
Alex Martin,none,"I Found Who Murdered Ben Azelart!, I Beat Poppy Playtime in Real Life!","Arte,  Reparto",None
Jessica Stacy,none,"BEATING Video Games IN REAL LIFE!, Escaping 100 Layers of Video Games!",Decoración,None
